id,athlete_id,games_id,event_id,coach_id,medal_id,result_value,result_unit,is_record_holder,notes
1649,1649,25,270,11,1,547.498,seconds,No,Youngest competitor
1650,1650,28,177,14,1,152.386,seconds,No,Final Appearance
1651,1651,12,285,15,1,152.994,points,No,-
1652,1652,19,131,11,1,2.852,points,No,Season Best
1653,1653,24,58,21,1,11.162,points,No,Withdrew - injury
1654,1654,38,11,3,1,68.187,seconds,No,-
1655,1655,7,204,1,3,76.793,seconds,No,Weather-affected
1656,1656,9,150,15,2,3.845,points,No,First from country
1657,1657,6,289,11,2,2.276,touches,No,Disqualified (false start)
1658,1658,4,262,20,2,222.974,points,No,Final Appearance
1659,1659,39,58,24,1,3.002,points,No,Technical violation
1660,1660,25,110,22,4,4890.696,seconds,No,Photo-finish silver
1661,1661,1,285,6,1,166.763,points,No,Youngest competitor
1662,1662,10,57,9,1,263.984,points,No,-
1663,1663,36,76,14,1,8.277,goals,No,Record broken next day
1664,1664,11,161,8,1,3882.45,seconds,Olympic Record,Personal Best
1665,1665,27,258,8,3,251.898,seconds,No,-
1666,1666,15,290,20,1,1987.395,seconds,No,Disqualified (false start)
1667,1667,17,129,4,1,440.22,seconds,Olympic Record,Record broken next day
1668,1668,4,196,19,2,579.721,points,No,-
1669,1669,33,298,23,1,131.731,seconds,No,Photo-finish silver
1670,1670,4,198,21,1,11.845,points,No,Withdrew - injury
1671,1671,38,235,10,1,341.962,seconds,No,Personal Best
1672,1672,5,299,15,4,561.787,seconds,No,National Record
1673,1673,19,46,1,2,3.498,goals,No,Comeback after injury
1674,1674,3,153,18,1,164.736,seconds,No,Disqualified (false start)
1675,1675,13,88,13,1,1.457,points,No,-
1676,1676,10,13,3,2,326.556,kg,No,Olympic Debut
1677,1677,33,42,18,1,70.109,seconds,No,Photo-finish silver
1678,1678,1,198,13,3,7.903,points,No,Photo-finish silver
1679,1679,20,76,24,1,2.508,goals,No,Withdrew - injury
1680,1680,29,300,14,1,70.775,points,World Record,-
1681,1681,12,4,7,4,5587.077,seconds,World Record,-
1682,1682,3,94,13,1,89.676,points,No,-
1683,1683,10,20,12,1,3.709,sets,No,Comeback after injury
1684,1684,39,62,20,1,3112.228,seconds,No,-
1685,1685,9,226,8,1,198.287,points,No,Youngest competitor
1686,1686,9,110,20,1,6982.993,seconds,No,First from country
1687,1687,5,246,1,1,15.18,points,No,First from country
1688,1688,5,236,25,1,246.497,kg,No,Equipment issue
1689,1689,20,26,12,1,185.713,points,No,Equipment issue
1690,1690,26,7,19,4,119.742,seconds,No,Technical violation
1691,1691,37,23,24,1,159.964,points,No,-
1692,1692,24,36,7,3,212.377,seconds,No,Technical violation
1693,1693,18,110,6,3,4874.459,seconds,No,Disqualified (false start)
1694,1694,26,243,16,1,8709.978,seconds,No,-
1695,1695,25,105,9,1,273.255,kg,No,Disqualified (false start)
1696,1696,26,20,17,3,144.711,seconds,No,National Record
1697,1697,1,97,3,4,562.178,points,No,Photo-finish silver
1698,1698,25,99,26,1,13.143,points,No,-
1699,1699,22,35,28,1,122.121,seconds,No,Youngest competitor
1700,1700,5,194,20,1,535.549,seconds,No,Withdrew - injury
1701,1701,23,195,16,1,1745.013,seconds,No,-
1702,1702,9,84,3,1,696.07,seconds,No,-
1703,1703,17,63,20,1,509.968,seconds,No,-
1704,1704,9,92,16,3,10445.427,seconds,No,Weather-affected
1705,1705,34,31,5,1,123.872,seconds,No,-
1706,1706,21,177,17,3,114.592,seconds,No,-
1707,1707,1,195,18,1,299.946,points,No,Equipment issue
1708,1708,4,165,18,1,15.186,points,No,-
1709,1709,1,192,17,4,521.29,seconds,No,Disqualified (false start)
1710,1710,7,140,6,4,240.414,points,No,Final Appearance
1711,1711,16,203,23,4,234.265,points,No,-
1712,1712,11,247,25,1,67.354,points,World Record,-
1713,1713,31,20,19,1,155.421,points,No,-
1714,1714,27,36,12,1,165.813,seconds,No,-
1715,1715,25,182,19,1,224.903,points,No,Record broken next day
1716,1716,12,266,12,3,96.023,seconds,No,-
1717,1717,2,30,6,4,84.786,seconds,No,Withdrew - injury
1718,1718,2,275,13,1,92.895,metres,No,Photo-finish silver
1719,1719,1,285,10,1,188.602,points,No,Oldest medalist
1720,1720,4,262,2,1,153.672,points,World Record,-
1721,1721,30,219,10,1,61.888,seconds,No,Season Best
1722,1722,10,265,8,1,252.862,seconds,No,-
1723,1723,16,180,2,1,5.827,touches,No,Withdrew - injury
1724,1724,11,11,13,1,145.557,seconds,No,Season Best
1725,1725,21,76,4,1,3.014,goals,No,Disqualified (false start)
1726,1726,6,50,6,3,451.623,seconds,World Record,-
1727,1727,14,188,16,2,716.761,seconds,No,-
1728,1728,23,82,11,1,2.578,goals,No,-
1729,1729,23,48,7,1,131.338,metres,World Record,National Record
1730,1730,18,122,23,1,7.516,ippon,Olympic Record,Record broken next day
1731,1731,10,194,27,1,503.387,seconds,No,-
1732,1732,24,199,11,4,77.911,seconds,No,Equipment issue
1733,1733,25,68,27,1,13.797,points,Olympic Record,Youngest competitor
1734,1734,4,29,5,1,6.474,goals,No,-
1735,1735,13,74,16,1,5.572,points,No,Final Appearance
1736,1736,12,290,17,1,9519.158,seconds,No,-
1737,1737,16,181,2,1,1597.602,seconds,No,Personal Best
1738,1738,16,271,22,1,377.601,seconds,No,Comeback after injury
1739,1739,18,84,24,1,663.517,seconds,No,Comeback after injury
1740,1740,7,125,4,1,13.994,points,No,Withdrew - injury
1741,1741,7,12,1,2,7.572,points,No,First from country
1742,1742,37,24,3,1,204.681,seconds,World Record,Weather-affected
1743,1743,16,29,19,2,12.328,goals,No,Withdrew - injury
1744,1744,4,150,14,2,5.702,points,No,First from country
1745,1745,7,107,7,1,225.268,kg,No,Record broken next day
1746,1746,16,127,1,3,287.57,points,No,-
1747,1747,16,236,13,1,454.79,kg,No,Final Appearance
1748,1748,5,140,26,2,298.405,points,No,-
1749,1749,27,190,20,1,77.704,seconds,No,-
1750,1750,15,71,9,1,14.981,points,No,-
1751,1751,9,149,1,1,5.456,ippon,No,-
1752,1752,3,11,19,1,192.013,seconds,No,Olympic Debut
1753,1753,7,232,14,1,12.641,points,No,First from country
1754,1754,15,240,10,1,12.462,touches,No,-
1755,1755,21,42,23,1,189.867,seconds,No,-
1756,1756,29,85,6,2,113.473,metres,No,-
1757,1757,13,125,16,1,12.529,points,No,-
1758,1758,19,285,7,1,258.022,points,No,Personal Best
1759,1759,30,11,2,1,212.428,seconds,No,Disqualified (false start)
1760,1760,11,35,18,1,113.495,seconds,No,Season Best
1761,1761,30,82,5,4,6.939,goals,No,Olympic Debut
1762,1762,18,301,9,3,5.297,touches,No,First from country
1763,1763,25,120,28,1,382.642,seconds,No,Withdrew - injury
1764,1764,27,32,6,1,84.674,metres,No,National Record
1765,1765,26,93,10,1,77.351,points,World Record,Photo-finish silver
1766,1766,22,82,27,1,11.662,goals,No,National Record
1767,1767,10,189,12,2,518.015,seconds,No,-
1768,1768,15,74,27,1,4.55,points,Olympic Record,Withdrew - injury
1769,1769,21,58,23,1,8.31,points,No,Comeback after injury
1770,1770,35,42,11,1,203.208,seconds,No,Youngest competitor
1771,1771,18,89,23,1,205.166,seconds,No,-
1772,1772,8,78,10,1,238.703,points,No,Comeback after injury
1773,1773,26,76,26,1,8.859,goals,No,Equipment issue
1774,1774,29,24,9,1,159.077,seconds,No,Oldest medalist
1775,1775,26,161,6,1,2341.921,seconds,No,-
1776,1776,4,232,15,1,12.795,points,No,Personal Best
1777,1777,22,258,10,1,285.509,seconds,No,First from country
1778,1778,39,219,5,1,172.361,seconds,Olympic Record,Personal Best
1779,1779,25,151,3,2,6.705,ippon,No,Technical violation
1780,1780,12,265,12,1,648.892,seconds,No,Disqualified (false start)
1781,1781,32,48,9,1,141.194,metres,No,-
1782,1782,22,76,7,1,4.935,goals,No,Record broken next day
1783,1783,24,177,6,2,351.677,seconds,No,Oldest medalist
1784,1784,9,4,13,1,5956.726,seconds,No,Season Best
1785,1785,14,171,15,1,226.246,seconds,No,Equipment issue
1786,1786,13,4,14,1,4900.656,seconds,No,Season Best
1787,1787,4,1,17,1,578.461,seconds,No,Comeback after injury
1788,1788,1,120,14,1,164.444,seconds,No,Comeback after injury
1789,1789,5,182,10,1,192.296,points,No,Season Best
1790,1790,9,289,22,1,9.4,touches,No,-
1791,1791,16,17,15,1,25.609,points,No,Final Appearance
1792,1792,22,239,22,1,624.693,seconds,No,Youngest competitor
1793,1793,31,302,1,1,2839.696,seconds,No,Weather-affected
1794,1794,14,303,12,1,14.285,points,No,Final Appearance
1795,1795,17,31,26,1,70.555,seconds,No,Final Appearance
1796,1796,4,12,8,1,5.348,points,No,Oldest medalist
1797,1797,13,271,27,1,202.708,seconds,No,Oldest medalist
1798,1798,17,3,3,1,192.162,seconds,No,Equipment issue
1799,1799,7,139,27,1,2.454,points,No,Olympic Debut
1800,1800,11,146,1,1,52.555,seconds,No,Season Best
1801,1801,14,131,12,1,1.647,points,No,Technical violation
1802,1802,25,121,28,1,198.916,kg,No,Comeback after injury
1803,1803,6,203,12,1,170.344,points,World Record,Technical violation
1804,1804,28,36,24,1,95.705,seconds,No,Final Appearance
1805,1805,9,260,15,1,98.67,seconds,No,Oldest medalist
1806,1806,19,3,27,1,2.512,sets,No,Weather-affected
1807,1807,28,26,14,1,205.971,points,No,Equipment issue
1808,1808,6,171,24,1,201.604,seconds,No,Final Appearance
1809,1809,14,71,12,1,15.794,points,No,-
1810,1810,14,135,18,1,449.677,kg,No,Oldest medalist
1811,1811,29,82,25,3,5.748,goals,No,Equipment issue
1812,1812,14,19,12,1,121.34,seconds,No,-
1813,1813,17,207,11,1,83.786,seconds,No,-
1814,1814,32,118,18,1,267.089,seconds,No,Equipment issue
1815,1815,14,46,24,1,7.931,goals,No,-
1816,1816,10,198,13,1,4.018,points,No,Withdrew - injury
1817,1817,16,158,24,3,13.526,points,No,Oldest medalist
1818,1818,16,47,9,1,455.554,seconds,Olympic Record,Withdrew - injury
1819,1819,3,82,17,1,10.731,goals,No,-
1820,1820,39,153,5,1,118.279,seconds,No,Disqualified (false start)
1821,1821,4,22,11,1,9.271,points,World Record,Comeback after injury
1822,1822,9,4,12,1,4162.041,seconds,No,Equipment issue
1823,1823,39,200,14,2,130.639,metres,No,Technical violation
1824,1824,16,3,2,3,1.265,sets,No,Weather-affected
1825,1825,12,304,27,2,528.903,seconds,No,-
1826,1826,18,57,1,1,297.11,points,No,-
1827,1827,1,166,17,1,456.1,points,No,Weather-affected
1828,1828,24,197,11,1,71.019,points,No,First from country
1829,1829,24,117,24,1,844.013,seconds,No,-
1830,1830,39,20,24,1,200.101,points,No,-
1831,1831,25,98,5,1,427.898,kg,No,Equipment issue
1832,1832,33,58,23,1,7.993,points,No,First from country
1833,1833,10,305,10,1,461.86,seconds,No,-
1834,1834,29,116,14,1,136.116,metres,No,-
1835,1835,29,113,17,1,2745.595,seconds,Olympic Record,Equipment issue
1836,1836,29,207,2,1,85.288,seconds,No,Withdrew - injury
1837,1837,15,119,18,1,12.611,points,No,-
1838,1838,26,247,22,1,57.434,points,No,Technical violation
1839,1839,7,22,20,1,7.235,points,No,-
1840,1840,7,88,21,1,7.209,points,No,-
1841,1841,13,17,3,1,12.458,points,No,Withdrew - injury
1842,1842,12,21,28,1,4.663,points,No,Season Best
1843,1843,1,135,10,1,130.489,kg,No,National Record
1844,1844,11,130,20,1,79.507,seconds,No,Season Best
1845,1845,16,178,27,1,2.617,sets,No,Personal Best
1846,1846,5,174,9,2,5.003,ippon,No,Equipment issue
1847,1847,30,20,19,1,169.504,points,No,National Record
1848,1848,25,273,12,1,399.76,seconds,No,National Record
1849,1849,26,228,14,2,2614.236,seconds,No,Olympic Debut
1850,1850,39,230,22,1,726.987,seconds,No,-
1851,1851,9,28,7,1,4239.952,seconds,No,Olympic Debut
1852,1852,18,27,23,1,29.009,points,No,-
1853,1853,9,186,4,1,10.714,touches,No,Withdrew - injury
1854,1854,4,41,6,1,11.833,points,No,Disqualified (false start)
1855,1855,13,273,24,1,597.445,seconds,No,Equipment issue
1856,1856,14,99,1,3,22.652,points,No,First from country
1857,1857,31,153,5,4,182.135,seconds,No,Personal Best
1858,1858,33,100,18,1,69.548,points,No,-
1859,1859,10,127,25,1,286.624,points,No,Youngest competitor
1860,1860,7,292,22,1,702.214,seconds,No,Disqualified (false start)
1861,1861,25,206,6,1,5.964,points,No,-
1862,1862,25,45,5,1,5.555,points,No,-
1863,1863,9,120,8,1,269.02,seconds,No,Withdrew - injury
1864,1864,22,288,20,1,6645.676,seconds,No,Technical violation
1865,1865,33,93,26,1,55.042,points,No,National Record
1866,1866,15,195,24,1,244.22,points,No,Withdrew - injury
1867,1867,5,166,1,1,428.301,points,World Record,Youngest competitor
1868,1868,9,15,8,3,2.886,touches,No,National Record
1869,1869,29,86,12,1,90.576,seconds,No,Photo-finish silver
1870,1870,14,120,9,3,239.071,seconds,No,Record broken next day
1871,1871,36,59,17,1,172.219,seconds,No,National Record
1872,1872,23,100,22,1,74.167,points,No,Technical violation
1873,1873,29,115,25,1,6.608,points,No,-
1874,1874,39,58,10,1,2.176,points,No,Record broken next day
1875,1875,36,129,22,4,285.592,seconds,No,Disqualified (false start)
1876,1876,3,31,12,1,116.182,seconds,No,Equipment issue
1877,1877,1,215,26,1,7.374,ippon,No,Oldest medalist
1878,1878,28,34,28,1,241.73,seconds,No,Disqualified (false start)
1879,1879,12,79,8,2,4.6,points,No,Final Appearance
1880,1880,16,227,21,2,3.198,points,No,-
1881,1881,25,79,18,1,1.838,points,No,Season Best
1882,1882,19,271,13,1,328.229,seconds,No,Olympic Debut
1883,1883,13,279,27,1,1.388,points,No,Oldest medalist
1884,1884,35,298,10,1,1070.663,seconds,No,-
1885,1885,27,137,7,2,2808.171,seconds,Olympic Record,Photo-finish silver
1886,1886,14,10,18,1,4.945,points,No,Comeback after injury
1887,1887,9,178,11,2,4.509,sets,No,Record broken next day
1888,1888,27,118,10,1,176.057,seconds,Olympic Record,Withdrew - injury
1889,1889,14,46,21,1,13.891,goals,No,Photo-finish silver
1890,1890,3,129,22,4,270.983,seconds,No,Technical violation
1891,1891,16,125,10,1,15.338,points,No,Comeback after injury
1892,1892,7,262,27,1,243.109,points,Olympic Record,Comeback after injury
1893,1893,19,189,23,3,163.095,seconds,No,-
1894,1894,4,185,12,4,4.108,points,No,-
1895,1895,28,160,10,1,337.074,seconds,No,Weather-affected
1896,1896,23,267,12,4,1324.596,seconds,No,Equipment issue
1897,1897,6,292,5,1,336.839,seconds,No,Disqualified (false start)
1898,1898,2,3,23,1,272.251,points,No,Disqualified (false start)
1899,1899,7,46,3,1,9.581,goals,No,-
1900,1900,4,46,15,3,6.615,goals,No,Withdrew - injury
1901,1901,4,281,3,3,92.194,seconds,No,National Record
1902,1902,2,115,16,1,11.412,points,No,Weather-affected
1903,1903,32,67,25,1,1780.207,seconds,No,Photo-finish silver
1904,1904,18,233,18,1,8.316,points,No,-
1905,1905,20,115,27,4,1.737,points,No,-
1906,1906,5,110,4,1,7208.073,seconds,World Record,-
1907,1907,16,90,6,1,1.418,points,No,-
1908,1908,1,46,14,1,9.936,goals,No,Withdrew - injury
1909,1909,5,45,25,1,11.52,points,Olympic Record,Youngest competitor
1910,1910,29,115,24,1,2.761,points,No,Olympic Debut
1911,1911,39,86,13,1,107.125,seconds,Olympic Record,Oldest medalist
1912,1912,30,298,20,1,183.429,seconds,No,Disqualified (false start)
1913,1913,6,121,17,1,193.57,kg,No,Personal Best
1914,1914,10,204,24,1,248.045,seconds,No,-
1915,1915,36,76,17,1,0.299,goals,No,Olympic Debut
1916,1916,19,110,24,1,3913.303,seconds,No,First from country
1917,1917,9,196,19,1,402.994,points,No,Weather-affected
1918,1918,31,197,27,3,75.738,points,No,Final Appearance
1919,1919,4,285,23,1,206.26,points,No,Youngest competitor
1920,1920,8,159,28,1,3.537,points,No,First from country
1921,1921,15,306,16,1,2.76,touches,No,Record broken next day
1922,1922,10,29,23,3,7.315,goals,No,Weather-affected
1923,1923,6,110,8,1,6181.867,seconds,No,-
1924,1924,1,110,22,4,3938.056,seconds,No,Technical violation
1925,1925,18,109,19,1,296.7,points,No,-
1926,1926,22,76,13,1,10.556,goals,No,Oldest medalist
1927,1927,25,22,12,1,9.311,points,No,First from country
1928,1928,4,158,6,1,15.984,points,No,Final Appearance
1929,1929,28,219,21,1,171.605,seconds,No,-
1930,1930,39,24,17,2,367.187,seconds,No,Disqualified (false start)
1931,1931,18,216,3,1,1.511,touches,No,-
1932,1932,12,46,27,3,0.983,goals,No,Season Best
1933,1933,13,41,10,3,42.61,points,No,Oldest medalist
1934,1934,6,162,9,1,657.34,seconds,No,Final Appearance
1935,1935,8,300,28,1,64.422,points,No,Weather-affected
1936,1936,22,115,21,1,2.527,points,Olympic Record,-
1937,1937,14,212,22,1,1.861,points,No,National Record
1938,1938,10,46,5,2,4.726,goals,No,Weather-affected
1939,1939,5,149,3,1,3.263,ippon,No,First from country
1940,1940,16,110,26,1,4170.935,seconds,No,First from country
1941,1941,2,61,21,1,260.648,seconds,No,Personal Best
1942,1942,10,303,20,1,13.664,points,No,Disqualified (false start)
1943,1943,7,231,16,4,5.679,touches,No,Withdrew - injury
1944,1944,22,234,21,1,2119.86,seconds,No,-
1945,1945,4,81,4,1,259.564,points,No,Comeback after injury
1946,1946,37,35,14,1,94.647,seconds,Olympic Record,Photo-finish silver
1947,1947,9,68,14,2,12.856,points,No,-
1948,1948,32,34,12,1,607.576,seconds,No,Weather-affected
1949,1949,30,229,22,1,86.881,points,No,-
1950,1950,14,126,22,1,12.099,touches,No,Final Appearance
1951,1951,19,203,18,1,179.753,points,No,-
1952,1952,16,166,13,2,554.531,points,No,-
1953,1953,39,78,9,1,208.322,points,No,-
1954,1954,16,231,3,1,10.036,touches,No,Photo-finish silver
1955,1955,35,197,25,1,66.518,points,Olympic Record,Final Appearance
1956,1956,10,251,9,1,308.787,points,Olympic Record,Olympic Debut
1957,1957,8,207,28,1,49.186,seconds,World Record,-
1958,1958,7,22,14,1,7.469,points,No,Olympic Debut
1959,1959,7,164,16,2,566.651,seconds,No,Withdrew - injury
1960,1960,25,12,1,3,11.304,points,No,Oldest medalist
1961,1961,21,20,17,2,284.12,points,No,Photo-finish silver
1962,1962,5,84,11,1,333.774,seconds,No,Equipment issue
1963,1963,12,6,13,2,24.799,points,No,Equipment issue
1964,1964,1,121,13,1,151.8,kg,No,Equipment issue
1965,1965,17,86,7,1,96.933,seconds,No,National Record
1966,1966,21,39,3,1,83.813,points,Olympic Record,Equipment issue
1967,1967,12,75,15,1,461.451,seconds,No,Photo-finish silver
1968,1968,4,135,15,1,442.982,kg,No,Season Best
1969,1969,39,11,4,1,210.147,seconds,No,-
1970,1970,8,48,5,2,109.24,metres,No,Photo-finish silver
1971,1971,32,159,3,1,8.228,points,No,-
1972,1972,1,41,14,1,44.139,points,No,-
1973,1973,14,3,10,1,3.118,sets,No,-
1974,1974,19,147,2,1,9.439,touches,No,Youngest competitor
1975,1975,30,115,21,1,3.139,points,No,Olympic Debut
1976,1976,4,273,3,1,359.371,seconds,No,Withdrew - injury
1977,1977,17,230,22,2,531.49,seconds,No,Equipment issue
1978,1978,10,79,8,4,3.26,points,No,Equipment issue
1979,1979,29,39,14,1,59.648,points,No,-
1980,1980,20,300,27,1,62.508,points,No,-
1981,1981,1,222,2,1,582.55,points,No,-
1982,1982,21,78,25,1,217.972,points,No,Youngest competitor
1983,1983,4,187,23,1,520.46,points,No,-
1984,1984,5,307,2,1,171.576,seconds,No,Youngest competitor
1985,1985,2,53,24,1,352.298,seconds,No,-
1986,1986,28,42,1,1,209.7,seconds,No,-
1987,1987,3,30,27,1,154.754,seconds,No,-
1988,1988,1,140,14,1,242.422,points,No,Equipment issue
1989,1989,15,90,7,1,4.855,points,No,-
1990,1990,27,48,24,1,123.114,metres,No,-
1991,1991,13,79,9,3,3.205,points,No,Photo-finish silver
1992,1992,39,58,23,1,9.937,points,No,-
1993,1993,15,41,25,1,39.077,points,No,Disqualified (false start)
1994,1994,10,110,2,1,3744.58,seconds,World Record,Equipment issue
1995,1995,15,74,11,1,2.815,points,No,Photo-finish silver
1996,1996,23,3,15,1,221.617,points,No,Youngest competitor
1997,1997,5,121,14,4,144.373,kg,No,National Record
1998,1998,3,35,8,3,111.785,seconds,No,Season Best
1999,1999,25,122,26,1,9.386,ippon,No,Oldest medalist
2000,2000,2,58,23,1,10.47,points,No,-
2001,2001,5,169,5,4,409.386,seconds,No,Weather-affected
2002,2002,36,7,24,1,280.479,seconds,No,Weather-affected
2003,2003,18,180,24,1,1.752,touches,No,Photo-finish silver
2004,2004,15,104,5,1,29.659,points,No,-
2005,2005,18,296,7,1,3.021,touches,No,Personal Best
2006,2006,5,189,20,1,346.074,seconds,No,-
2007,2007,32,239,12,1,657.067,seconds,No,National Record
2008,2008,8,58,19,3,9.212,points,No,-
2009,2009,12,150,4,1,5.409,points,No,National Record
2010,2010,38,223,6,1,3819.059,seconds,No,Season Best
2011,2011,12,166,8,1,326.679,points,No,Withdrew - injury
2012,2012,6,149,24,3,7.652,ippon,No,-
2013,2013,37,26,3,1,262.855,points,No,First from country
2014,2014,6,72,22,2,1.971,ippon,No,-
2015,2015,2,3,16,1,111.411,seconds,No,Comeback after injury
2016,2016,17,229,18,1,71.095,points,World Record,Final Appearance
2017,2017,19,231,2,1,1.18,touches,No,Personal Best
2018,2018,38,30,3,4,168.866,seconds,Olympic Record,-
2019,2019,34,76,7,1,6.978,goals,No,Withdrew - injury
2020,2020,25,30,12,1,1.99,sets,No,Withdrew - injury
2021,2021,4,44,10,1,23.191,points,Olympic Record,National Record
2022,2022,4,46,4,1,0.06,goals,No,Olympic Debut
2023,2023,10,4,19,1,5530.947,seconds,No,-
2024,2024,22,3,4,1,296.592,points,No,Oldest medalist
2025,2025,34,153,23,1,61.741,seconds,No,-
2026,2026,39,76,8,1,1.851,goals,No,First from country
2027,2027,9,139,25,1,4.432,points,No,-
2028,2028,9,49,26,1,253.868,points,No,Technical violation
2029,2029,19,12,11,1,12.277,points,No,Withdrew - injury
2030,2030,8,275,25,3,144.203,metres,No,-
2031,2031,39,93,8,1,93.543,points,No,Youngest competitor
2032,2032,15,29,16,1,9.126,goals,No,Personal Best
2033,2033,1,68,18,1,13.274,points,No,-
2034,2034,18,127,6,1,252.068,points,World Record,Final Appearance
2035,2035,25,299,27,3,384.48,seconds,Olympic Record,Record broken next day
2036,2036,35,31,22,1,79.741,seconds,No,Record broken next day
2037,2037,13,135,3,1,137.472,kg,No,Youngest competitor
2038,2038,6,251,28,1,445.734,points,No,Technical violation
2039,2039,18,91,21,1,285.794,points,No,Final Appearance
2040,2040,36,11,25,4,140.578,seconds,No,Disqualified (false start)
2041,2041,19,110,6,3,4981.256,seconds,No,Record broken next day
2042,2042,7,91,23,1,282.432,points,No,Olympic Debut
2043,2043,18,174,23,1,2.978,points,Olympic Record,Season Best
2044,2044,11,48,16,1,139.913,metres,No,Comeback after injury
2045,2045,27,3,4,1,207.023,points,No,-
2046,2046,28,35,27,1,161.611,seconds,No,-
2047,2047,29,160,18,1,231.469,seconds,No,-
2048,2048,12,174,11,1,1.009,ippon,No,First from country
2049,2049,15,151,18,1,9.247,ippon,No,Personal Best
2050,2050,13,66,18,2,14758.697,seconds,No,-
2051,2051,20,3,4,2,247.181,points,No,First from country
2052,2052,25,198,12,4,9.958,points,No,Withdrew - injury
2053,2053,27,76,3,3,9.234,goals,No,-
2054,2054,31,76,9,1,10.301,goals,No,Olympic Debut
2055,2055,4,92,25,1,4390.609,seconds,World Record,Record broken next day
2056,2056,35,115,21,1,11.807,points,No,-
2057,2057,6,291,6,1,5730.138,seconds,No,Equipment issue
2058,2058,1,107,3,1,448.911,kg,No,-
2059,2059,15,20,16,1,1.128,sets,No,Personal Best
2060,2060,34,3,22,1,159.802,seconds,Olympic Record,-
2061,2061,16,27,11,1,8.467,points,No,First from country
2062,2062,5,297,9,1,76.804,seconds,No,Season Best
2063,2063,18,97,12,1,266.546,points,No,Technical violation
2064,2064,29,153,28,2,110.455,seconds,No,Weather-affected
2065,2065,29,116,3,1,87.665,metres,No,Oldest medalist
2066,2066,21,229,3,1,88.435,points,World Record,-
2067,2067,15,8,16,1,158.901,seconds,No,Season Best
2068,2068,18,173,12,1,13.006,points,No,-
2069,2069,1,45,8,3,2.854,points,No,-
2070,2070,9,227,17,1,4.479,points,No,Equipment issue
2071,2071,10,6,10,1,13.643,points,No,-
2072,2072,2,159,26,1,10.564,points,No,Season Best
2073,2073,19,28,21,1,5916.476,seconds,No,-
2074,2074,19,128,8,1,3.485,sets,No,-
2075,2075,13,28,17,1,7108.149,seconds,No,Record broken next day
2076,2076,17,65,1,1,196.634,seconds,No,Disqualified (false start)
2077,2077,9,121,1,1,315.44,kg,No,Comeback after injury
2078,2078,20,277,8,4,1447.957,seconds,No,-
2079,2079,16,101,16,1,529.34,seconds,No,Youngest competitor
2080,2080,19,216,16,1,3.154,touches,No,Equipment issue
2081,2081,10,299,23,1,595.812,seconds,No,-
2082,2082,11,159,1,1,2.324,points,No,First from country
2083,2083,19,274,17,3,271.06,seconds,No,Photo-finish silver
2084,2084,20,159,18,1,1.102,points,No,Weather-affected
2085,2085,4,215,21,1,2.512,ippon,No,Final Appearance
2086,2086,31,210,13,1,3547.958,seconds,No,Disqualified (false start)
2087,2087,25,303,11,1,13.158,points,No,Photo-finish silver
2088,2088,5,81,25,1,256.663,points,No,Olympic Debut
2089,2089,37,140,27,1,141.982,metres,No,Olympic Debut
2090,2090,12,9,7,1,279.936,points,No,Comeback after injury
2091,2091,10,6,25,1,22.466,points,No,Disqualified (false start)
2092,2092,11,7,18,3,322.443,seconds,No,Oldest medalist
2093,2093,3,53,5,1,598.468,seconds,World Record,-
2094,2094,34,238,19,1,69.419,points,No,Final Appearance
2095,2095,18,46,2,1,10.808,goals,No,-
2096,2096,1,28,7,1,5885.601,seconds,World Record,-
2097,2097,15,155,21,3,716.869,seconds,No,Record broken next day
2098,2098,23,26,19,1,252.311,points,No,-
2099,2099,6,121,13,2,416.386,kg,No,-
2100,2100,10,16,12,1,469.994,seconds,No,Comeback after injury
2101,2101,23,93,22,1,63.644,points,No,-
2102,2102,31,76,16,2,11.954,goals,No,-
2103,2103,30,197,4,1,72.679,points,World Record,-
2104,2104,10,30,17,1,1.86,sets,No,Comeback after injury
2105,2105,35,23,15,1,234.602,points,No,Olympic Debut
2106,2106,10,152,19,4,224.574,points,Olympic Record,-
2107,2107,15,79,14,1,9.996,points,No,National Record
2108,2108,4,163,25,1,720.264,seconds,No,-
2109,2109,19,46,20,1,8.194,goals,No,-
2110,2110,29,308,26,1,4141.457,seconds,No,Equipment issue
2111,2111,17,129,1,1,493.918,seconds,Olympic Record,First from country
2112,2112,9,128,18,1,4.129,sets,No,-
2113,2113,15,222,4,1,302.575,points,No,Weather-affected
2114,2114,3,140,1,1,136.532,metres,No,Weather-affected
2115,2115,37,148,19,4,235.657,seconds,No,First from country
2116,2116,9,178,7,1,4.224,sets,Olympic Record,Olympic Debut
2117,2117,6,270,21,1,387.172,seconds,No,-
2118,2118,17,76,25,1,5.805,goals,No,Weather-affected
2119,2119,34,82,3,1,3.983,goals,No,Equipment issue
2120,2120,19,111,24,1,240.286,points,No,Record broken next day
2121,2121,36,153,7,1,143.418,seconds,No,Youngest competitor
2122,2122,25,25,18,1,7.75,points,No,Disqualified (false start)
2123,2123,19,142,23,1,14.845,points,No,-
2124,2124,13,44,6,4,32.543,points,No,Oldest medalist
2125,2125,26,20,4,1,304.914,points,No,First from country
2126,2126,16,157,21,1,10.954,touches,No,Comeback after injury
2127,2127,12,108,11,1,432.244,kg,No,-
2128,2128,39,35,22,1,98.865,seconds,No,-
